prompt,label
"This saved valuable time , one can invest in more important activity . ",0
"Successful people have gone through lots of hardship . ",1
"Then this phenomena reminds them , it comes with referring to other subjects .",1
"I do not want to go to the Eiffel Tower in Paris , or The Statue of Liberty in New York , when I travel because they are too well known , so I have already heard about and seen them . ",1
"I once read a report that said during the Vietnam war , more Americans died on roads in their cars than on battlefield . ",1
"For example , the hamburgers in the commercials and menus look way more juicy , neat and fresh than the ones you buy .",1
"The young passes off the diseases to a couple of people but the young still enjoy life . ",1
"A student who chooses to study at university has to become well acquainted with different methods of expanding current ideas and concepts .",1
"For these reasons , the passage said that it is time for the state to take measures to reduce the quantity of sulfur dioxide . ",1
"They are moved by solar energy .",1
"For example , here is one student who knows fact but does not know `` how to '' .",1
"The other one is about the extreme lengths you can go to conserve water .",1
"The government would like to reduce the population with this fishing limit . ",1
"My 1 0th and 1 2th exams were very good . ",1
"In order to maintain old buildings , it costs a lot of money .",1
"But not moving and always keeping to old ways cannot improve a person 's life . ",1
"Thus , after you return to the city , you may became brothers .",0
"After the construction in 1 9 0 8 of the first commercial car , The Ford T , mankind has been subdued to the use of the car . ",1
"The consumers also know how advertisements are . ",1
"If however the student will put only conepts and his/hers ore someone elses ideas or concepts , which can be mistakes will make the professor think if the student actualy did what was asked from the assigment .",0
"This means the more languages you know , the better you can get along in other countries . ",1
"The reason these problems occur is also because of the exam . ",1
"The wisdom needed in order to understand these concepts and , more importantly , to link them together , will duly serve him .",1
"For this reason , the number of cars would decrease in the future . ",1
"During the Mao regime , cars were only accessible for politicians or privileged party members .",1
"If they prefer to choose cars than motor bikes , that means there will be many cars .",1
"Is it right ? ",1
"We simply need to eat , buy clothes , make and raise a family .",1
"Scenes of violence can have an affect on them . ",1
"Also , most people prefer athletics to other arts . ",1
"So only time will tell what actually happens . ",1
"If they can not pay the high prices any more , people have to change into riding a bus or a train . ",1
"And people are not ready to pay the taxes . ",1
"If they cannot pay the high prices any more , people have to change into a bus or a train . ",0
"Some people walk to work or use the underground , but if you have a car you can use it to get to work .",1
"The new things bring the brainstorm which other people cannot get . ",0
"So I think we could not live if older people did not develop science and technologies . ",1
"From this , the professor agreed with some ideas and disagreed with other ideas . ",1
"The cutting of dead trees is called salvage logging .",1
"Then there is a chance to shift him to other parts of cricket .",1
"The student must be capable of understanding ideas and concepts , and at the same time knowing how they must be developed . ",1
"The other is about the extreme lengths to conserve water .",0
"Secondly , the place of the film must must be very clear and have chairs to relax , etc . ",1
"For example , during the traffic jam , if the transit ca n't accommodate such a large amount of people , how would the clerks ?",1
"But I found out that the quality of the bat was very bad .",1
"For example when you read your school 's book the first time you will not understand anything , but read the book a second time and you will understand it .",1
"They only care if the effects are good and popular among the crowds .",1
"For instance , the birds do not usually remember the objects they have passed by , such as a stone , a building , or even a small house .",1
"Because the fashion culture has been changed . ",1
"And when we want those energy sources , we need to extract them from the ground and soil or oceans , because those energy types are found in those places . ",1
"Because students must do homework .",1
"Now they can afford the lawsuit case against the music industries who sued them for 100 million dollars after inventing p2p software to hack their intellectual property .",1
"Scenes of violence can have an effect on them . ",1
"In the lecture , zebra mussel not really being a serious threat had been proven .",1
"But , even if this student passes the course , he or she will not be a succesful contracts lawyer in the future . ",1
"Let 's say that your interest lies in paintings .",1
"Speed cameras can be placed in many locations along a highway .",1
"But , on the other hand , we are at risk of being poisoned by this product because farmers often feed their fish growth-inducing chemicals .",1
"Because it had creativity and innovation .",1
"New Gerrthion prefers to use public transportation ; this is why now they think in twenty years there will be less car use .",1
"Some people might give you a good plan . ",1
